read2807 47897 0.020431684828164293 0.046 0.0 0.03 0.01 read16545
read13960 47897 0.01984434981435254 0.022 0.0 0.0 0.0 read2807
read1266 47897 0.02196263635223806 0.016 0.018 0.06 0.03 read14948
read4208 47897 0.022857381638878443 0.008 0.0 0.03 0.0 read4966
read8917 47538 0.022282654523990218 0.062 0.052 0.01 0.01 read10652
read10903 47538 0.022301309859748136 0.01984126984126984 0.0 0.0 0.0 read2836
read7299 47538 0.0038300469285969824 0.0 0.0 0.0 0.0 read9828
read12250 47115 0.01122205154463219 0.172 0.0 0.45 0.01 read12235
read16553 47115 0.001424683167474696 0.0 0.0 0.02 0.01 read2278
read4541 47115 0.02599199591280654 0.018 0.0 0.0 0.0 read16553
read9397 47115 0.01442256632468829 0.0 0.02 0.0 0.0 read11913
read5400 47115 0.015058513688592486 0.0 0.044 0.0 0.06 read2836
read17449 46992 0.024720876118096622 0.0 0.05 0.01 0.04 read8848
read10816 46992 0.028916387385064878 0.042 0.0 0.02 0.0 read8569
read16795 46992 0.025337260928961748 0.0 0.036 0.01 0.04 read15101
read11931 46992 0.019465445639442018 0.016 0.0 0.04 0.0 read9276
read4071 46713 0.016513323496224287 0.0 0.01 0.0 0.03 read7692
read9730 46713 0.02928053541550474 0.012 0.048 0.02 0.14 read16545
read5232 46661 0.030166204390548065 0.158 0.022 0.2 0.06 read2433
read16717 46661 0.004227104969530512 0.0 0.0 0.0 0.01 read9828
read799 46661 0.023186478486551414 0.068 0.021484375 0.06 0.01 read9276
read1077 46057 0.023398934435141894 0.0 0.008 0.04 0.01 read1950
read4462 46057 0.015221462479857149 0.004 0.0 0.01 0.0 read1306
read2995 46057 0.026027158774373258 0.03 0.07 0.0 0.17 read10241
read11817 45768 0.02191918529688149 0.012 0.016 0.03 0.0 read5583
read16126 45768 0.025576178747361015 0.004 0.038 0.12 0.09 read1110
read16631 45768 0.024477978592735566 0.0 0.022 0.0 0.02 read6607
read2576 45748 0.0232175743225467 0.068 0.0 0.04 0.0 read5232
read12871 45748 0.022815523331066408 0.0 0.048 0.01 0.01 read2576
read6754 44714 0.020863309352517987 0.006 0.028 0.0 0.02 read5030
read9345 44714 0.015793718356557192 0.008 0.0 0.07 0.0 read14020
read8000 44714 0.018816843424173266 0.038 0.0 0.06 0.0 read16717
read1273 44685 0.029991027366532075 0.042 0.094 0.01 0.0 read2433
read6167 44685 0.023698602390115453 0.0 0.062 0.0 0.08 read12309
read9104 44685 0.021761518828639234 0.07 0.032 0.05 0.02 read15477
read13739 44685 0.017125971031364033 0.0 0.024 0.01 0.0 read14444
read10398 44685 0.01831592162489351 0.0 0.038 0.0 0.01 read16553
read5066 44685 0.02046849106463027 0.016 0.026 0.02 0.03 read13986
read8352 44625 0.018295143715528452 0.016 0.0 0.01 0.02 read5030
read13022 44625 0.022269210005398596 0.02385685884691849 0.062 0.02 0.01 read2807
read13083 44625 0.023814862986051934 0.016 0.022 0.04 0.01 read2278
read4904 44625 0.020516392890047416 0.016 0.022 0.0 0.0 read10772
read3860 44465 0.013875998822916902 0.004 0.03 0.02 0.0 read10816
read5841 44465 0.027490012864784346 0.024 0.044 0.02 0.07 read12871
read17032 44465 0.026576424139875918 0.006 0.002 0.02 0.06 read13960
read11363 44465 0.02408551711695458 0.0 0.042 0.04 0.02 read498
read17038 44465 0.019716407832545576 0.028 0.02 0.02 0.01 read9276
read14941 44191 0.021031422620664673 0.016 0.0 0.03 0.0 read8715
read15997 44191 0.010958407861072746 0.0 0.0 0.01 0.0 read15463
read15627 44191 0.017776268115942028 0.016 0.0 0.02 0.0 read9276
read3474 44066 0.01952751604533661 0.006 0.0 0.0 0.0 read6008
read4592 44066 0.0242212956000638 0.004 0.0 0.04 0.01 read498
read13107 43761 0.020269033674963396 0.018 0.01 0.02 0.01 read11372
read259 43471 0.009791724265044696 0.0 0.022 0.0 0.01 read4900
read2019 43471 0.02330620807303073 0.034 0.052 0.0 0.05 read4900
read12430 43471 0.017173507677432722 0.0 0.014 0.02 0.05 read14782
read13737 43471 0.01641574251262306 0.028 0.0 0.02 0.0 read10225
read7147 43264 0.02525837697548315 0.002 0.024 0.02 0.03 read16126
read5512 43264 0.024811995172221706 0.024 0.014 0.01 0.04 read12604
read15956 43264 0.020775014459224986 0.032 0.004 0.0 0.05 read11931
read6877 43264 0.0034494733186711426 0.0 0.007874015748031496 0.0 0.01 read1110
read1868 43176 0.018362467209879982 0.014 0.0 0.02 0.0 read1077
read12404 43176 0.021208464822721367 0.0 0.038 0.0 0.04 read10398
read1751 43176 0.023007947357445723 0.032 0.018 0.02 0.0 read11913
read5112 43176 0.0205231668289968 0.044 0.0 0.02 0.0 read11372
read10696 43098 0.02341887533305287 0.0 0.01 0.01 0.02 read8493
read3305 43098 0.02825135084777343 0.0 0.066 0.01 0.16 read8569
read17592 43098 0.029447537072554614 0.062 0.16 0.01 0.26 read12531
read7220 43098 0.01778087279480037 0.0 0.006 0.03 0.02 read11913
read701 43098 0.017170872252428086 0.028 0.0 0.03 0.0 read5373
read3846 42969 0.027010020974131903 0.02 0.04 0.0 0.02 read2433
read11745 42969 0.030391720714603478 0.004 0.06201550387596899 0.02 0.22 read1195
read77 42969 0.022239872915011914 0.034 0.0 0.08 0.0 read1195
read10183 42969 0.00987953491623366 0.05 0.0 0.04 0.0 read5511
read14003 42940 0.027059868205823245 0.02 0.006 0.06 0.1 read6008
read1886 42940 0.02647724356731285 0.046 0.014 0.02 0.0 read9730
read2258 42940 0.018943983595861684 0.052 0.0 0.01 0.0 read8000
read5278 42940 0.0017706124921370828 0.0 0.002 0.0 0.0 read1777
read9983 42940 0.015709124810628132 0.016 0.0 0.01 0.0 read12935
read3708 42907 0.023311221152947773 0.0 0.01 0.0 0.02 read8848
read2773 42907 0.02441757318268827 0.016 0.0 0.04 0.0 read7968
read12343 42907 0.018844602001072835 0.034 0.03 0.05 0.02 read15232
read9414 42907 0.009682687820811945 0.018 0.0 0.01 0.0 read10183
read6491 42654 0.01840649641049782 0.018 0.0 0.09 0.0 read3860
read1972 42654 0.031386964512936516 0.058 0.052 0.17 0.0 read9828
read5291 42654 0.012775568783379997 0.0 0.002 0.01 0.0 read15997
read12089 42654 0.02221700879765396 0.026 0.014 0.03 0.02 read9276
read2113 42527 0.0 0.0 0.0 0.0 0.0
read11735 42527 0.011002473789610084 0.074 0.0 0.16 0.0 read16553
read13079 42527 0.020480791892528872 0.0 0.028 0.0 0.02 read12571
read1743 42428 0.015825098464658852 0.026 0.0 0.0 0.0 read6607
read13537 42428 0.014099450640133921 0.0 0.0 0.02 0.01 read9276
read13759 42349 0.027620514035295512 0.056 0.0 0.07 0.0 read12531
read1600 42349 0.017267588238088452 0.036 0.0 0.0 0.01 read5721
read5425 42349 0.017008811509295788 0.0 0.0 0.0 0.04 read16717
read10348 42349 0.023502402310004496 0.038 0.004 0.06 0.03 read9871
read264 42222 0.0279254057132011 0.07 0.022 0.01 0.0 read11595
read12923 42090 0.02612118320610687 0.006 0.016 0.03 0.03 read12531
read6417 42090 0.013475295291964732 0.01 0.0 0.03 0.01 read12935
read9557 41847 0.029378503885854525 0.028 0.054 0.03 0.01 read1195
read10969 41838 0.01674681212469198 0.072 0.0 0.0 0.0 read14948
read7346 41838 0.020619051044139153 0.0 0.02 0.0 0.02 read10772
read17078 41838 0.021701679666937836 0.038 0.0 0.06 0.0 read7220
read1713 41838 0.00516721687957514 0.0 0.006 0.0 0.06 read9828
read14878 41838 0.01824529520074607 0.022 0.006 0.04 0.0 read14875
read4309 41791 0.02131838650953339 0.0 0.016 0.01 0.06 read10652
read5180 41791 0.015797296001534185 0.022 0.014 0.01 0.06 read2019
read3830 41791 0.04593701938834682 0.062 0.0 0.68 0.0 read12235
read11774 41790 0.027569824359343506 0.016 0.016 0.02 0.02 read2433
read14835 41790 0.007374949117640016 0.036 0.0 0.08 0.0 read410
read3437 41774 0.027131502017346765 0.014 0.0 0.01 0.0 read12309
read10450 41774 0.0 0.0 0.0 0.0 0.0
read3384 41774 0.01963275481829514 0.002 0.014 0.01 0.0 read14875
read12998 41774 0.018755838742903683 0.0 0.024 0.01 0.02 read5066
read4774 41698 0.011526547078740726 0.026 0.0 0.01 0.0 read3437
read13742 41698 0.02274690469334869 0.018 0.0 0.03 0.0 read7299
read893 41687 0.021778279347852186 0.024 0.048 0.0 0.03 read5583
read11941 41687 0.021579099307159354 0.0 0.062 0.0 0.07 read4708
read10595 41687 0.023443504996156803 0.036 0.054 0.0 0.06 read16795
read15120 41687 0.016855551286976564 0.0 0.014 0.0 0.0 read12182
read16245 41680 0.026817066717975853 0.018 0.016 0.0 0.06 read5493
read859 41680 0.006390543916970979 0.0 0.018 0.0 0.01 read3199
read11947 41680 0.024218543523701976 0.052 0.01 0.09 0.02 read4921
read14707 41680 0.016308394379728593 0.008 0.0 0.0 0.0 read8541
read9866 41680 0.024462849597887408 0.004 0.018 0.01 0.01 read1777
read4009 41240 0.027689988817037003 0.018 0.042 0.02 0.09 read12531
read7416 41240 0.021075917057636676 0.032 0.04 0.03 0.08 read8131
read16799 41171 0.019637425477552015 0.028 0.0 0.05 0.0 read5180
read5835 41171 0.012859156983810589 0.0 0.008 0.0 0.0 read12430
read8056 41171 0.019762269379420987 0.02 0.054 0.03 0.04 read6894
read3270 41171 0.02144458524222634 0.0 0.032 0.0 0.04 read16631
read12974 41104 0.022878839507374776 0.028 0.01 0.05 0.01 read8352
read4868 41104 0.02783057951942292 0.01 0.026 0.02 0.0 read2390
read9988 41104 0.03153616375299936 0.01 0.018 0.01 0.03 read1195
read13025 41104 0.017670682730923693 0.018 0.0 0.01 0.0 read1743
read10127 41104 0.02034805890227577 0.01 0.044 0.03 0.04 read14875
read11658 40830 0.014287464771474084 0.04 0.0 0.01 0.0 read14366
read1650 40830 0.019059782875669302 0.0 0.042 0.0 0.05 read1306
read4605 40830 0.034612546125461253 0.064 0.01 0.01 0.0 read2390
read9340 40830 0.02414437450826121 0.024 0.008 0.0 0.01 read498
read4787 40830 0.023892459402443212 0.013888888888888888 0.036 0.09 0.0 read8715
read12399 40686 0.02733834289104212 0.0 0.0 0.0 0.0 read1195
